agegroup,Date,Sex,Active_Cases,Active_numbers,Active_Numbers_Female,Active_Numbers_Male,Cases,Cases_Female,Cases_Male,Daily_Recovered,Number of Records,Zero
10-19,5/02/2020,Male,0,0,0,0,0,0,0,0,1,0
20-29,5/02/2020,Male,0,0,0,0,0,0,0,0,1,0
30-39,5/02/2020,Male,0,0,0,0,0,0,0,0,1,0
40-49,5/02/2020,Male,0,0,0,0,0,0,0,0,1,0
50-59,5/02/2020,Male,1,1,0,1,,0,,,1,0
60-69,5/02/2020,Male,1,1,0,1,,0,,,1,0
70-79,5/02/2020,Male,0,0,0,0,0,0,0,0,1,0
80-89,5/02/2020,Male,0,0,0,0,0,0,0,0,1,0
90+,5/02/2020,Male,0,0,0,0,0,0,0,0,1,0
0-9,5/02/2020,Other,0,0,0,0,0,0,0,0,1,0
10-19,5/02/2020,Other,0,0,0,0,0,0,0,0,1,0
20-29,5/02/2020,Other,0,0,0,0,0,0,0,0,1,0
30-39,5/02/2020,Other,0,0,0,0,0,0,0,0,1,0
40-49,5/02/2020,Other,0,0,0,0,0,0,0,0,1,0
50-59,5/02/2020,Other,0,0,0,0,0,0,0,0,1,0
60-69,5/02/2020,Other,0,0,0,0,0,0,0,0,1,0
70-79,5/02/2020,Other,0,0,0,0,0,0,0,0,1,0
80-89,5/02/2020,Other,0,0,0,0,0,0,0,0,1,0
90+,5/02/2020,Other,0,0,0,0,0,0,0,0,1,0
0-9,6/02/2020,Female,0,0,0,0,0,0,0,0,1,0
10-19,6/02/2020,Female,0,0,0,0,0,0,0,0,1,0
20-29,6/02/2020,Female,1,1,1,0,,,0,,1,0
30-39,6/02/2020,Female,0,0,0,0,0,0,0,0,1,0
40-49,6/02/2020,Female,1,1,1,0,,,0,,1,0
50-59,6/02/2020,Female,0,0,0,0,0,0,0,0,1,0
60-69,6/02/2020,Female,0,0,0,0,0,0,0,0,1,0
70-79,6/02/2020,Female,0,0,0,0,0,0,0,0,1,0
80-89,6/02/2020,Female,0,0,0,0,0,0,0,0,1,0
90+,6/02/2020,Female,0,0,0,0,0,0,0,0,1,0
0-9,6/02/2020,Male,0,0,0,0,0,0,0,0,1,0
10-19,6/02/2020,Male,0,0,0,0,0,0,0,0,1,0
20-29,6/02/2020,Male,0,0,0,0,0,0,0,0,1,0
30-39,6/02/2020,Male,0,0,0,0,0,0,0,0,1,0
40-49,6/02/2020,Male,0,0,0,0,0,0,0,0,1,0
50-59,6/02/2020,Male,1,1,0,1,,0,,,1,0
60-69,6/02/2020,Male,1,1,0,1,,0,,,1,0
70-79,6/02/2020,Male,0,0,0,0,0,0,0,0,1,0
80-89,6/02/2020,Male,0,0,0,0,0,0,0,0,1,0
90+,6/02/2020,Male,0,0,0,0,0,0,0,0,1,0
0-9,6/02/2020,Other,0,0,0,0,0,0,0,0,1,0
10-19,6/02/2020,Other,0,0,0,0,0,0,0,0,1,0
20-29,6/02/2020,Other,0,0,0,0,0,0,0,0,1,0
30-39,6/02/2020,Other,0,0,0,0,0,0,0,0,1,0
40-49,6/02/2020,Other,0,0,0,0,0,0,0,0,1,0
50-59,6/02/2020,Other,0,0,0,0,0,0,0,0,1,0
60-69,6/02/2020,Other,0,0,0,0,0,0,0,0,1,0
70-79,6/02/2020,Other,0,0,0,0,0,0,0,0,1,0
80-89,6/02/2020,Other,0,0,0,0,0,0,0,0,1,0
90+,6/02/2020,Other,0,0,0,0,0,0,0,0,1,0
0-9,7/02/2020,Female,0,0,0,0,0,0,0,0,1,0
10-19,7/02/2020,Female,0,0,0,0,0,0,0,0,1,0
20-29,7/02/2020,Female,1,1,1,0,,,0,,1,0
30-39,7/02/2020,Female,0,0,0,0,0,0,0,0,1,0
40-49,7/02/2020,Female,,0,0,0,,,0,1,1,0
50-59,7/02/2020,Female,0,0,0,0,0,0,0,0,1,0
60-69,7/02/2020,Female,0,0,0,0,0,0,0,0,1,0
70-79,7/02/2020,Female,0,0,0,0,0,0,0,0,1,0
80-89,7/02/2020,Female,0,0,0,0,0,0,0,0,1,0
90+,7/02/2020,Female,0,0,0,0,0,0,0,0,1,0
0-9,7/02/2020,Male,0,0,0,0,0,0,0,0,1,0
